Delay,Size,Concurrency,Average Latency (s),Requests/sec
1500,1000,900,1.5478,571.5666
1500,1000,1000,1.5482,636.1172
1500,1000,1100,1.5564,695.0504
1500,1000,1200,1.5403,770.2743
1500,1000,1300,1.5594,822.5454
1500,1000,1400,1.5896,859.4807
1500,1000,1500,1.5895,924.5693
1600,0,100,1.6017,68.5602
1600,0,200,1.6020,124.8401
1600,0,300,1.6021,187.2054
1600,0,400,1.6029,249.4124
1600,0,500,1.6029,311.6690
1600,0,600,1.6033,373.4808
1600,0,700,1.6048,435.6051
1600,0,800,1.6055,497.3652
1600,0,900,1.6061,558.8482
1600,0,1000,1.6069,620.7732
1600,0,1100,1.6082,681.4695
1600,0,1200,1.6103,742.0178
1600,0,1300,1.6121,801.4530
1600,0,1400,1.6170,861.3254
1600,0,1500,1.6153,922.2197
1600,500,100,1.6046,84.1510
1600,500,200,1.6049,124.5021
1600,500,300,1.6068,186.3419
1600,500,400,1.6074,248.2045
1600,500,500,1.6104,309.5741
1600,500,600,1.6141,369.5709
1600,500,700,1.6152,430.3018
1600,500,800,1.6283,485.2575
1600,500,900,1.6284,544.3312
1600,500,1000,1.6358,601.1756
1600,500,1100,1.6555,654.0678
1600,500,1200,1.6407,716.3339
1600,500,1300,1.6601,770.5063
1600,500,1400,1.6614,827.7746
1600,500,1500,1.6693,882.1564
1600,1000,100,1.6065,75.8794
1600,1000,200,1.6078,124.2237
1600,1000,300,1.6106,185.7334
1600,1000,400,1.6154,246.2844
1600,1000,500,1.6228,305.8831
1600,1000,600,1.6298,364.0994
1600,1000,700,1.6285,423.5397
1600,1000,800,1.6303,487.4501
1600,1000,900,1.6547,536.8703
1600,1000,1000,1.6461,598.8651
1600,1000,1100,1.6566,655.3996
1600,1000,1200,1.6671,704.4541
1600,1000,1300,1.6695,762.7737
1600,1000,1400,1.6658,819.7542
1600,1000,1500,1.6855,872.7371
1700,0,100,1.7018,76.2365
1700,0,200,1.7020,117.5035
1700,0,300,1.7027,176.1518
1700,0,400,1.7027,234.8129
1700,0,500,1.7031,293.2267
1700,0,600,1.7041,351.6405
1700,0,700,1.7045,410.0243
1700,0,800,1.7049,468.2146
1700,0,900,1.7073,525.9888
1700,0,1000,1.7076,584.3119
1700,0,1100,1.7103,641.0300
1700,0,1200,1.7125,698.3083
1700,0,1300,1.7139,755.8520
1700,0,1400,1.7106,813.9105
1700,0,1500,1.7185,867.0038
1700,500,100,1.7046,71.4609
1700,500,200,1.7053,117.1670
1700,500,300,1.7065,175.5126
1700,500,400,1.7084,233.5689
1700,500,500,1.7100,291.2200
1700,500,600,1.7154,347.3306
1700,500,700,1.7212,403.3278
1700,500,800,1.7221,459.2644
1700,500,900,1.7365,512.5057
1700,500,1000,1.7301,570.0046
1700,500,1100,1.7490,618.4894
1700,500,1200,1.7444,675.5239
1700,500,1300,1.7488,731.9475
1700,500,1400,1.7706,780.0426
1700,500,1500,1.7676,836.2154
1700,1000,100,1.7067,62.3018
1700,1000,200,1.7091,116.8239
1700,1000,300,1.7124,174.6687
1700,1000,400,1.7177,231.7247
1700,1000,500,1.7266,286.6531
